gene_symbol,colors,ens_gene_human,habu_gene_id,habu_target_id,gene_id,SRR41,SRR42,SRR43,SRR44,SRR45,SRR46,SRR47,SRR48,SRR49,SRR50,SRR51,SRR52,SRR53,Pm_3,Pm_4,Pm_6,Pm_7,Pm_8,Pm_9,Pm_10,Pm_11,Pm_12,Pm_14,Pm_16,Pm_17,Pm_18
BTD,magenta,ENSG00000169814,107282909,XM_015810748.1,686,769,833,746,766,726,606,770,769,587,625,845,817,1028,647,745,635,263,426,553,276,407,2029,566,771,420,996
BYSL,turquoise,ENSG00000112578,107293965,XM_015823157.1,705,40,58,49,40,58,89,72,21,89,47,108,75,42,163,310,130,155,130,113,130,212,136,106,82,113,62
DAGLA,blue,ENSG00000134780,107287951,XM_015816523.2,747,183,288,194,250,221,302,155,84,244,109,211,232,210,65,85,67,7,25,33,43,60,22,24,31,60,43
CA5A,turquoise,ENSG00000174990,107292887,XM_015822013.1,763,1,1,0,0,1,0,2,3,1,0,0,4,0,421,378,314,484,267,235,330,394,339,176,287,373,248
CAMK2D,magenta,ENSG00000145349,107286689,XM_029283987.1,817,678,457,333,261,421,295,539,430,328,318,292,308,767,906,2439,2556,965,594,1690,1070,1133,1657,1003,831,1929,1098
CASP9,turquoise,ENSG00000132906,107291376,XM_015820373.1,842,137,88,142,100,126,120,140,75,87,58,95,178,99,77,57,35,76,51,51,34,47,64,24,29,36,40
CD14,black,ENSG00000170458,107283615,XM_015811544.1,929,910,999,811,401,1071,614,829,408,532,484,436,457,676,4,0,2,0,0,1,10,9,4,2,8,3,2
ENTPD2,turquoise,ENSG00000054179,107297246,XM_015826609.1,954,18,31,25,21,46,52,44,20,34,9,16,28,42,372,357,273,749,297,248,218,390,235,196,237,209,230
ENTPD5,brown,ENSG00000187097,107290491,XM_015819373.1,957,789,275,218,169,264,280,236,720,460,246,266,285,909,162,179,81,15,49,85,58,80,98,62,32,42,34
CDH17,lightcyan,ENSG00000079112,107292744,XM_015821861.1,1015,24,25,18,22,16,28,29,21,11,15,14,19,18,13,7,1,0,3,0,7,3,1,2,11,1,12
CDK5,turquoise,ENSG00000164885,107297802,XM_015827166.1,1020,43,37,42,38,47,42,49,44,37,21,32,36,52,12,8,7,12,8,5,12,10,6,7,3,8,4
CDK9,grey60,ENSG00000136807,107298051,XM_015827411.1,1025,263,329,292,326,278,370,286,152,298,218,240,314,289,45,11,10,16,14,14,15,23,9,11,3,6,9
CDS1,brown,ENSG00000163624,107303189,XM_015832392.1,1040,418,220,137,276,200,340,170,415,269,193,247,284,559,149,76,100,56,65,82,98,124,118,58,107,118,58
CLGN,cyan,ENSG00000153132,107292447,XM_015821537.2,1047,27,8,7,3,10,2,5,13,6,5,2,7,33,31,143,214,83,38,313,44,47,498,84,86,78,100
CEBPB,green,ENSG00000172216,107289378,XM_015818125.1,1051,556,593,259,359,751,336,579,306,573,224,447,551,601,7,6,3,3,1,3,2,8,5,5,3,0,6
CEBPD,black,ENSG00000221869,107287158,XM_015815629.1,1052,756,1487,520,485,2282,394,746,488,1273,292,485,832,668,0,1,0,0,0,1,2,3,2,0,0,0,0
CHRM5,magenta,ENSG00000184984,107296429,XM_015825781.1,1133,104,78,49,57,84,60,96,95,97,69,86,85,103,0,95,170,51,0,48,7,0,61,45,158,62,92
AP2S1,brown,ENSG00000042753,107291944,XM_015820997.1,1175,272,153,205,178,196,217,189,267,142,128,246,176,250,13,4,7,9,9,1,8,4,1,5,2,3,8
AP3S1,turquoise,ENSG00000177879,107290892,XM_015819831.1,1176,423,454,309,376,442,399,317,547,294,285,343,335,490,327,312,209,227,236,186,428,349,376,184,175,241,186
CLIC1,turquoise,ENSG00000213719,107294046,XM_015823252.1,1192,181,89,82,84,95,90,94,173,112,88,107,54,186,2244,1897,1914,2665,1227,1566,1443,2118,2578,1421,1544,1971,1473
CLPTM1,grey60,ENSG00000104853,107296384,XM_015825728.1,1209,504,846,664,487,761,695,737,389,463,303,583,532,675,35,111,20,111,28,20,27,39,37,30,21,19,33
CNN3,cyan,ENSG00000117519,107299985,XM_015829334.2,1266,1275,1053,752,656,1209,830,577,587,1025,715,599,833,923,12147,7716,6514,1592,1978,4044,3282,3932,6091,1783,3156,3868,1833
COL8A1,turquoise,ENSG00000144810,107291772,XM_015820813.1,1295,615,127,103,92,122,106,108,135,114,86,99,73,264,41,85,95,92,26,52,58,50,59,35,19,53,34
COPB1,magenta,ENSG00000129083,107295027,XM_015824314.1,1315,2182,1594,1250,1505,1479,1492,1112,2549,1652,1489,1496,1737,2782,2138,3876,1836,1322,869,1779,763,1379,1445,987,797,1017,1158
SLC31A2,blue,ENSG00000136867,107299022,XM_015828387.2,1318,3013,3997,3480,4752,2939,2948,3203,2855,3248,2872,4309,3127,3626,72,254,163,37,18,39,45,41,86,59,84,87,177
COX5B,turquoise,ENSG00000135940,107287968,XM_015816537.1,1329,784,751,814,821,728,795,724,766,966,745,1203,945,829,336,589,268,1357,491,353,346,386,543,374,385,556,305
COX6A1,turquoise,ENSG00000111775,107300563,XM_015829876.1,1337,635,612,489,600,570,599,477,574,708,630,799,609,681,109,152,0,177,0,100,119,0,89,0,64,77,0
COX7C,darkorange,ENSG00000127184,107302093,XM_015831217.1,1350,816,887,858,1046,770,875,711,1057,890,876,1307,999,930,0,0,0,0,0,0,0,0,0,0,0,0,0
CPE,brown,ENSG00000109472,107290874,XM_015819812.2,1363,1815,413,287,300,347,381,278,4068,982,1013,500,647,2974,323,227,154,114,141,222,602,329,187,94,153,235,79
CREBL2,tan,ENSG00000111269,107286987,XM_015815440.1,1389,573,766,572,635,696,585,520,527,614,526,691,581,629,57,44,37,25,59,47,46,58,26,46,27,39,24
CRY1,magenta,ENSG00000008405,107284732,XM_015812840.1,1407,114,206,108,96,173,91,135,161,93,55,45,176,72,1297,1104,731,322,273,510,471,537,458,354,438,490,686
CRYAB,blue,ENSG00000109846,107284519,XM_015812589.2,1410,210,970,587,496,708,643,498,210,375,347,396,397,123,1,1,1,0,0,0,0,0,9,0,3,0,3
CRYM,brown,ENSG00000103316,107292093,XM_015821152.1,1428,231,32,50,94,92,64,82,426,232,136,117,148,467,4,2,0,1,2,0,0,0,0,1,0,5,2
CS,turquoise,ENSG00000062485,107300526,XM_015829846.1,1431,902,1258,1053,1157,1309,1330,1102,742,1038,743,1229,1240,999,3430,2613,1334,2007,2147,1390,1668,2037,1603,2503,985,1119,909
CTH,magenta,ENSG00000116761,107294130,XM_015823336.1,1491,54,62,71,43,67,53,59,117,37,43,45,90,117,564,2396,1716,1795,267,2313,661,346,2451,546,1761,1404,2034
CYP27A1,black,ENSG00000135929,107292512,XM_015821610.2,1593,370,758,756,450,629,506,622,380,585,348,475,463,475,184,181,164,53,87,52,95,199,113,178,101,126,36
CYP51A1,brown,ENSG00000001630,107286842,XM_015815275.1,1595,748,543,385,395,506,428,463,743,498,534,467,481,1138,140,29,24,15,61,62,16,29,132,67,66,30,109
DAB1,black,ENSG00000173406,107286643,XM_015815038.1,1600,8,313,68,13,154,33,41,6,23,9,46,38,10,13,3,1,0,1,0,7,4,0,2,0,7,0
DAP,cyan,ENSG00000112977,107294656,XM_015823909.2,1611,898,1414,1340,1072,1701,1777,1452,728,1130,530,1391,1267,1317,5237,5504,7479,6657,2774,8818,3937,4401,12534,3268,4126,6537,4321
DBT,magenta,ENSG00000137992,107302494,XM_015831602.1,1629,582,610,575,554,637,480,582,571,605,514,601,634,648,220,318,264,107,84,213,204,164,301,188,130,215,169
DDOST,turquoise,ENSG00000244038,107297526,XM_015826889.1,1650,1442,1638,1313,1159,1253,1372,1304,1319,1279,1259,1530,1373,1928,1038,1647,1065,4235,693,1889,271,732,1424,911,1630,1785,4111
DDT,turquoise,ENSG00000099977,107291843,XM_015820876.1,1652,168,209,183,172,168,184,174,210,162,151,219,149,192,0,0,0,3,0,2,1,0,0,3,0,0,1
DDX6,darkgreen,ENSG00000110367,107284800,XM_015812914.1,1656,2755,2569,1653,1752,2009,1984,1802,2124,2228,1628,2060,2461,2753,68,74,40,26,36,54,32,68,42,21,17,63,15
DMXL1,magenta,ENSG00000172869,107294347,XM_015823578.1,1657,1958,1503,1201,1541,1434,1431,1185,1901,1481,1422,1668,1670,2127,432,681,729,208,261,421,424,449,642,282,533,572,552
DDX10,salmon,ENSG00000178105,107284815,XM_015812934.1,1662,277,184,145,146,163,202,161,205,180,136,167,253,256,249,229,135,71,138,100,214,235,130,154,89,137,74
DECR1,turquoise,ENSG00000104325,107285746,XM_015813982.1,1666,519,504,476,507,464,525,541,488,477,468,600,581,582,1978,1929,1275,1208,1782,1338,1116,2035,1168,844,936,1980,841
TIMM8A,green,ENSG00000126953,107291581,XM_015820599.1,1678,59,53,37,42,61,59,57,32,45,54,53,63,61,0,0,0,1,2,0,2,1,0,0,0,0,0
COCH,cyan,ENSG00000100473,107287620,XM_015816142.1,1690,49,96,67,60,54,57,80,23,91,36,84,83,56,190,495,748,260,234,748,776,311,453,592,276,509,201
DHCR24,darkgreen,ENSG00000116133,107294417,XM_015823649.1,1718,3614,213,253,381,277,1181,295,3216,863,721,588,500,5313,879,226,380,465,439,944,304,363,1123,514,290,385,532
DIAPH1,green,ENSG00000131504,107299173,XM_029286737.1,1729,866,647,626,642,804,838,563,440,653,439,581,710,918,268,184,139,98,160,96,157,213,125,80,125,160,63
DLAT,turquoise,ENSG00000150768,107284503,XM_015812572.1,1737,374,291,242,351,346,324,292,356,396,318,445,401,360,527,752,374,463,803,459,581,548,401,496,367,373,358
DLST,turquoise,ENSG00000119689,107293078,XM_015822214.2,1743,494,633,511,545,629,687,515,360,570,395,636,633,496,1557,1381,930,601,858,681,1110,997,559,769,472,632,330
DMBT1,greenyellow,ENSG00000187908,107285949,XM_015814226.1,1755,138299,50501,26617,6173,36811,7040,23900,14832,25940,23556,11573,5904,172506,2,2913,1642,0,1,0,11,8,2,1,0,1,0
DPH2,turquoise,ENSG00000132768,107283444,XM_015811353.1,1802,148,122,91,84,86,147,105,88,119,69,98,125,127,281,249,136,107,179,157,176,232,117,147,83,139,75
DPP4,blue,ENSG00000197635,107294535,XM_015823769.2,1803,1243,4297,2945,3870,3023,2612,2715,1071,2736,2769,3789,3179,1704,334,3292,2509,473,296,539,401,512,889,959,1145,348,1300
ARID3A,turquoise,ENSG00000116017,107282241,XM_015810005.1,1820,153,126,77,127,83,126,145,126,115,88,129,91,224,37,40,32,48,19,22,20,28,23,8,21,42,25
DUSP9,tan,ENSG00000130829,107286721,XM_015815127.1,1852,3,4,5,22,3,36,2,2,43,14,33,40,3,10,9,3,1,4,3,3,14,5,1,0,3,2
ECHS1,tan,ENSG00000127884,107288287,XM_015816885.1,1892,506,1853,1538,1890,1848,1008,863,576,991,1481,1574,1051,776,3,1,2,2,2,1,4,4,0,1,0,1,5
EEF1A1,turquoise,ENSG00000156508,107288827,XM_015817478.1,1915,87765,103908,75801,94364,73888,81432,69523,112769,85555,79191,105812,77575,101840,22079,20532,23739,28160,8785,19829,25981,34252,18687,17204,8672,21895,9611
EEF1G,turquoise,ENSG00000254772,107296002,XM_015825340.1,1937,10073,13296,10361,10849,10513,9599,12202,12270,8997,9005,12910,9208,11944,1957,2119,1161,3673,1167,1344,1528,1717,1008,1418,864,1717,1093
EFNA4,brown,ENSG00000243364,107296695,XM_029286123.1,1945,44,36,35,43,55,56,36,72,61,19,56,77,65,3,0,1,0,1,0,1,2,0,3,0,0,0
MEGF9,cyan,ENSG00000106780,107298799,XM_015828160.2,1955,337,167,139,185,163,206,187,326,219,192,192,188,595,91,45,65,88,33,170,45,87,66,18,34,43,51
EIF2B1,turquoise,ENSG00000111361,107285461,XM_015813644.1,1967,332,349,293,318,320,335,310,300,264,246,379,289,396,220,153,145,99,133,97,188,183,171,129,83,149,114
EIF2S3,cyan,ENSG00000130741,107298451,XM_015827832.1,1968,1818,2293,1517,1546,1461,1882,1379,1828,1750,1136,1489,1740,2203,3862,3962,2434,1706,2683,2714,2831,3405,3648,2235,1449,2500,1461
EIF4E,magenta,ENSG00000151247,107288757,XM_015817402.1,1977,938,779,556,665,637,739,691,918,695,601,690,739,902,4166,3127,1906,1123,2266,1736,2185,2945,3040,1572,1439,2042,1267
EIF4G2,magenta,ENSG00000110321,107292140,XM_015821202.1,1982,6286,4294,3699,4033,4271,3993,3341,5923,4364,3571,4605,4730,6101,10012,5534,2976,2144,3295,3774,3462,4790,3636,2296,2360,3538,2619
EPAS1,black,ENSG00000116016,107287860,XM_015816414.1,2034,1776,1483,1208,876,1725,963,1373,756,853,578,940,1058,1269,147,83,57,34,59,51,41,54,37,17,18,61,29
EPRS1,turquoise,ENSG00000136628,107292295,XM_015821377.1,2058,2175,4202,2881,3962,3472,3404,2873,2728,2891,3088,3893,3298,2540,2848,3008,1708,1793,1740,2344,1939,2104,2283,1478,931,2090,1212
EPS8,turquoise,ENSG00000151491,107295910,XM_029285939.1,2059,844,307,298,234,329,276,296,363,302,283,266,252,502,724,593,378,473,309,505,409,689,392,238,273,454,293
ERBB3,blue,ENSG00000065361,107284855,XM_015812974.1,2065,1859,3015,2665,2481,2636,2690,2664,2049,2574,1996,3551,2488,2888,394,505,229,204,403,271,663,414,139,326,325,296,251
ERN1,blue,ENSG00000178607,107284852,XM_029283536.1,2081,1333,2770,1756,1739,1923,1915,1929,1159,1190,1214,1348,1634,1645,57,93,61,25,17,13,37,19,23,19,22,12,34
ESRRG,tan,ENSG00000196482,107293461,XM_015822613.1,2104,90,715,668,1293,951,1169,754,97,1127,1049,1961,1601,138,0,5,2,1,7,1,1,0,2,2,3,0,4
ETFA,turquoise,ENSG00000140374,107300922,XM_015830206.1,2108,845,635,438,531,507,490,464,747,615,557,682,579,939,966,819,565,712,695,484,475,855,814,468,294,607,396
EXTL1,turquoise,ENSG00000158008,107295666,XM_015824989.1,2134,2,9,5,1,3,2,7,0,6,3,1,2,0,161,98,72,167,49,126,57,89,81,51,76,98,103
ACSL1,blue,ENSG00000151726,107302669,XM_015831797.1,2180,1365,3779,3375,3488,4156,2482,3325,2475,2235,2423,2808,3452,1445,1367,2339,2191,565,797,772,1645,1890,1284,1389,999,919,915
ACSL3,magenta,ENSG00000123983,107289159,XM_015817859.1,2181,2705,375,299,435,384,443,431,3417,660,456,565,583,3368,4731,3742,6752,844,2112,2083,3336,2537,7390,3551,8746,2968,6762
FAH,cyan,ENSG00000103876,107286863,XM_015815300.1,2184,115,150,140,91,130,153,155,107,124,100,165,134,131,550,200,226,296,204,450,370,442,450,192,325,560,244
FASN,darkgreen,ENSG00000169710,107288857,XM_015817518.1,2194,2083,677,482,604,1008,1399,889,876,1067,474,1031,880,2478,1153,1023,453,283,481,404,327,471,703,220,475,389,409
FDPS,cyan,ENSG00000160752,107297026,XM_015826381.1,2224,490,519,482,508,488,501,452,566,521,497,543,491,738,190,55,81,143,33,253,43,11,203,70,110,43,137
FGF10,turquoise,ENSG00000070193,107291018,XM_015819967.2,2255,137,159,161,90,159,186,227,158,125,172,190,179,201,57,70,52,41,101,52,84,83,66,68,27,78,30
FHIT,tan,ENSG00000189283,107286418,XM_015814786.1,2272,106,159,140,130,145,167,144,103,120,119,162,126,140,0,2,2,0,0,0,2,2,0,2,0,2,3
FOXI1,magenta,ENSG00000168269,107285400,XM_015813581.1,2299,10,13,22,10,35,96,34,11,33,8,9,48,21,1,418,269,95,0,178,54,4,40,99,65,159,140
FLT1,cyan,ENSG00000102755,107294150,XM_029285544.1,2321,589,464,369,255,421,314,387,220,349,331,384,489,450,83,113,48,54,78,172,176,103,110,103,66,99,110
FLT3,pink,ENSG00000122025,107287178,XM_015815653.1,2322,26,9,2,28,14,46,22,21,10,11,12,34,24,16,6,9,0,4,1,22,11,8,3,4,1,0
FMO5,turquoise,ENSG00000131781,107297505,XM_015826868.1,2330,731,269,335,809,259,1069,386,706,755,1007,905,628,612,119,140,76,61,37,36,46,57,67,38,81,42,42
FNTA,magenta,ENSG00000168522,107289674,XM_015818471.1,2339,1264,1150,1014,957,1090,1058,954,984,1073,923,1125,1138,1362,1192,1990,619,368,862,651,1068,1184,846,610,708,645,517
FUCA1,brown,ENSG00000179163,107290746,XM_015819651.1,2517,949,315,223,327,254,330,225,1005,412,367,390,489,1383,117,166,78,52,107,67,120,102,123,68,66,100,39
FUT8,turquoise,ENSG00000033170,107296798,XM_015826150.1,2530,569,3835,2617,2838,2613,1626,2125,671,1892,2417,2347,2084,527,629,598,645,643,361,833,435,541,864,300,364,438,417
KDSR,black,ENSG00000119537,107283581,XM_015811513.1,2531,461,472,421,353,531,417,408,326,510,291,389,449,526,324,201,289,99,230,151,276,366,247,228,116,224,149
GATA6,black,ENSG00000141448,107291102,XM_029284917.1,2627,42,15,19,17,44,6,29,4,15,6,24,14,22,3,8,13,5,7,11,6,19,5,9,6,10,3
GCHFR,turquoise,ENSG00000137880,107286209,XM_015814535.1,2644,68,45,20,31,41,46,26,62,69,34,56,37,75,200,244,328,256,204,210,221,285,234,174,224,311,110
GFRA3,darkgrey,ENSG00000146013,107289181,XM_015817884.2,2676,4,16,10,11,19,17,28,1,9,11,14,15,3,33,327,295,38,50,334,111,118,83,105,60,195,65
GGCX,turquoise,ENSG00000115486,107283246,XM_029283168.1,2677,813,953,685,649,670,803,639,719,732,514,749,733,853,241,189,120,262,100,163,175,200,133,60,112,167,93
GJA5,greenyellow,ENSG00000265107,107289032,XM_015817722.1,2702,129,14,7,5,16,10,17,18,11,14,13,10,16,2,1,0,0,3,3,2,4,0,2,4,2,5
GLB1,lightcyan,ENSG00000170266,107293627,XM_015822786.2,2720,765,341,290,306,310,395,315,748,447,351,378,356,992,1626,955,1055,101,749,385,405,482,1463,618,1139,385,893
GLDC,brown,ENSG00000178445,107299109,XM_015828479.1,2731,78,55,24,51,40,75,55,83,35,73,48,58,77,28,67,41,4,18,14,21,22,21,25,9,41,9
GLG1,magenta,ENSG00000090863,107284066,XM_015812072.1,2734,3056,2809,2122,2085,2286,2305,2406,2670,2243,1710,2398,2231,3800,353,319,161,217,128,146,124,138,172,105,200,153,179
GLO1,cyan,ENSG00000124767,107292000,XM_015821057.1,2739,479,348,251,357,292,360,250,448,340,292,370,383,606,1370,1745,1060,756,1869,1035,1424,1439,1518,1028,747,1289,738
GLRX,turquoise,ENSG00000173221,107302790,XM_015831942.1,2745,472,699,509,562,635,402,447,573,521,365,457,531,434,145,188,566,832,214,500,291,397,1139,360,494,828,415
GLUL,brown,ENSG00000135821,107284992,XM_015813131.2,2752,6256,3324,3067,3648,3705,2846,3327,4708,5373,2762,2677,3421,5688,3393,9718,3667,716,1483,1635,3891,3420,1994,1083,1433,1866,970
GNAO1,brown,ENSG00000087258,107296063,XM_015825405.1,2775,116,43,38,32,46,62,47,71,20,7,23,27,279,6,2,0,0,0,0,0,2,0,0,0,1,0
