"hgnc_symbol","hgnc_id","go_name","go_id","go_domain","ncon_gene","ncon_go","global_padj","gene_padj","pval","sim","sem_sim","cilow_global_padj","ciupp_global_padj","cilow_gene_padj","ciupp_gene_padj","cilow_pval","ciupp_pval"
"ARHGAP6",676,"phospholipase activator activity","GO:0016004","molecular function",11,7,0.04859,0.01884,0.005944,0.9223,0.01273,0.04588,0.05145,0.01208,0.0294,0.004236,0.008343
"ATF4",786,"RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","molecular function",95,18,0.04859,0.02659,0.003872,0.9636,0.005027,0.04588,0.05145,0.02187,0.03232,0.003245,0.004621
"ATF4",786,"DNA-binding transcription factor activity","GO:0003700","molecular function",95,24,0.04859,0.02659,0.004305,0.9532,0.009253,0.04588,0.05145,0.02187,0.03232,0.003464,0.005351
"ATF4",786,"DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","molecular function",95,25,0.04859,0.02659,0.004478,0.9507,0.006376,0.04588,0.05145,0.02187,0.03232,0.003929,0.005104
"ATF4",786,"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","molecular function",95,43,0.04859,0.02659,0.004715,0.9446,0.00164,0.04588,0.05145,0.02187,0.03232,0.004571,0.004864
"ATF4",786,"sequence-specific DNA binding","GO:0043565","molecular function",95,21,0.04859,0.02659,0.005006,0.9385,0.009365,0.04588,0.05145,0.02187,0.03232,0.0041,0.006112
"ATF4",786,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","molecular function",95,18,0.04859,0.02659,0.005081,0.9368,0.009413,0.04588,0.05145,0.02187,0.03232,0.004163,0.006202
"ATF4",786,"transcription cis-regulatory region binding","GO:0000976","molecular function",95,30,0.04859,0.02659,0.005601,0.9246,0.003722,0.04588,0.05145,0.02187,0.03232,0.005114,0.006135
"ATP1A1",799,"chaperone binding","GO:0051087","molecular function",89,10,0.04859,0.03519,0.009205,0.884,0.003032,0.04588,0.05145,0.02795,0.04432,0.008424,0.01006
"ATP5F1D",837,"proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","molecular function",28,10,0.04859,0.006753,0.003896,0.9643,0.003648,0.04588,0.05145,0.006474,0.007045,0.003439,0.004413
"ATP5F1E",838,"proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","molecular function",26,10,0.04859,0.00889,0.00419,0.9555,0.008686,0.04588,0.05145,0.007339,0.01077,0.003347,0.005246
"ATP5ME",846,"proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","molecular function",28,10,0.04859,0.008419,0.004872,0.9407,0.003074,0.04588,0.05145,0.007731,0.009168,0.004597,0.005164
"ATP5PO",850,"proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","molecular function",57,10,0.04859,0.009192,0.004833,0.942,0.007739,0.04588,0.05145,0.007851,0.01076,0.004133,0.00565
"ATRX",886,"histone binding","GO:0042393","molecular function",28,22,0.04859,0.02419,0.006389,0.9156,0.014,0.04588,0.05145,0.01945,0.03008,0.004445,0.009182
"AUP1",891,"ubiquitin binding","GO:0043130","molecular function",35,12,0.04859,0.03602,0.007275,0.9031,0.011,0.04588,0.05145,0.02323,0.05584,0.005284,0.01002
"AUP1",891,"ubiquitin conjugating enzyme binding","GO:0031624","molecular function",35,4,0.04859,0.03602,0.0083,0.8923,0.001567,0.04588,0.05145,0.02323,0.05584,0.007902,0.008718
"CCND1",1582,"transcription factor binding","GO:0008134","molecular function",71,27,0.04859,0.02397,0.001889,0.9831,0.00368,0.04588,0.05145,0.02029,0.02832,0.0009163,0.003896
"CCND1",1582,"histone deacetylase binding","GO:0042826","molecular function",71,14,0.04859,0.02397,0.006414,0.9135,0.006636,0.04588,0.05145,0.02029,0.02832,0.005341,0.007702
"CALM1",1442,"transmembrane transporter binding","GO:0044325","molecular function",160,13,0.04859,0.04216,0.008444,0.8908,0.004211,0.04588,0.05145,0.03338,0.05326,0.007425,0.009603
"CALM3",1449,"N-terminal myristoylation domain binding","GO:0031997","molecular function",113,3,0.04859,0.04089,0.007455,0.9017,0.01165,0.04588,0.05145,0.02913,0.0574,0.005349,0.01039
"CALM3",1449,"transmembrane transporter binding","GO:0044325","molecular function",113,13,0.04859,0.04089,0.009215,0.8838,0.0005016,0.04588,0.05145,0.02913,0.0574,0.009053,0.009379
"CAPN1",1476,"calcium-dependent cysteine-type endopeptidase activity","GO:0004198","molecular function",32,3,0.04859,0.04998,0.003845,0.9613,0.007349,0.04588,0.05145,0.03805,0.06564,0.002927,0.00505
"RUNX2",10472,"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","molecular function",47,43,0.04859,0.01771,0.003791,0.9617,0.009453,0.04588,0.05145,0.01154,0.02716,0.002818,0.005101
"RUNX2",10472,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","molecular function",47,62,0.04859,0.01771,0.004646,0.9452,0.009374,0.04588,0.05145,0.01154,0.02716,0.003784,0.005705
"RUNX2",10472,"sequence-specific double-stranded DNA binding","GO:1990837","molecular function",47,40,0.04859,0.01802,0.005521,0.9283,0.00814,0.04588,0.05145,0.0118,0.02751,0.004529,0.006731
"CCNB1",1579,"cyclin-dependent protein serine/threonine kinase regulator activity","GO:0016538","molecular function",86,6,0.04859,0.01993,0.007874,0.8963,0.002597,0.04588,0.05145,0.01724,0.02304,0.00727,0.008528
"CCNB1",1579,"cyclin-dependent protein serine/threonine kinase activator activity","GO:0061575","molecular function",86,4,0.04859,0.01993,0.008519,0.8901,0.006891,0.04588,0.05145,0.01724,0.02304,0.00693,0.01047
"CD9",1709,"integrin binding","GO:0005178","molecular function",31,18,0.04859,0.0219,0.005629,0.9267,0.009849,0.04588,0.05145,0.01758,0.02729,0.004397,0.007207
"CDC5L",1743,"RNA binding","GO:0003723","molecular function",240,322,0.04859,0.0244,0.005031,0.9369,0.003555,0.04588,0.05145,0.02094,0.02843,0.0047,0.005384
"CHD4",1919,"histone deacetylase binding","GO:0042826","molecular function",181,14,0.04859,0.02933,0.005986,0.9207,0.01154,0.04588,0.05145,0.02621,0.03282,0.004502,0.00796
"CHD4",1919,"nucleosomal DNA binding","GO:0031492","molecular function",181,9,0.04859,0.02933,0.007375,0.9015,0.002519,0.04588,0.05145,0.02621,0.03282,0.006863,0.007925
"CHN2",1944,"GTPase activator activity","GO:0005096","molecular function",18,26,0.04859,0.01631,0.007049,0.9048,0.004596,0.04588,0.05145,0.009884,0.02692,0.00612,0.008118
"AP2M1",564,"clathrin adaptor activity","GO:0035615","molecular function",83,6,0.04859,0.02451,0.005244,0.9336,0.008947,0.04588,0.05145,0.02024,0.02968,0.004273,0.006436
"AP2M1",564,"transmembrane transporter binding","GO:0044325","molecular function",83,13,0.04859,0.02451,0.006973,0.9092,0.01615,0.04588,0.05145,0.02024,0.02968,0.004599,0.01057
"CLTA",2090,"clathrin heavy chain binding","GO:0032050","molecular function",63,3,0.04859,0.01352,0.004566,0.9485,0.002012,0.04588,0.05145,0.01216,0.01503,0.004377,0.004763
"CLTB",2091,"clathrin heavy chain binding","GO:0032050","molecular function",60,3,0.04859,0.01463,0.004687,0.9455,0.004884,0.04588,0.05145,0.01117,0.01917,0.00426,0.005158
"COL4A1",2202,"extracellular matrix structural constituent conferring tensile strength","GO:0030020","molecular function",34,3,0.04859,0.03204,0.005731,0.9221,0.00304,0.04588,0.05145,0.02142,0.04792,0.005332,0.00616
"COL4A2",2203,"extracellular matrix structural constituent conferring tensile strength","GO:0030020","molecular function",30,3,0.04859,0.02824,0.005522,0.927,0.00731,0.04588,0.05145,0.01981,0.04025,0.004737,0.006436
"CRY1",2384,"DNA binding","GO:0003677","molecular function",53,47,0.04859,0.02498,0.008212,0.8928,0.005005,0.04588,0.05145,0.02065,0.03021,0.007059,0.009555
"CTNNA1",2509,"gamma-catenin binding","GO:0045295","molecular function",61,3,0.04859,0.03477,0.003135,0.9751,0.002858,0.04588,0.05145,0.02263,0.05342,0.002617,0.003756
"CYP24A1",2602,"1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity","GO:0062181","molecular function",21,2,0.04859,0.02331,0.005493,0.9277,0.005977,0.04588,0.05145,0.02046,0.02657,0.004784,0.006307
"CYP24A1",2602,"25-hydroxycholecalciferol-23-hydroxylase activity","GO:0062180","molecular function",21,2,0.04859,0.02331,0.005499,0.9265,0.00375,0.04588,0.05145,0.02046,0.02657,0.00505,0.005987
"CYP24A1",2602,"1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity","GO:0030342","molecular function",21,2,0.04859,0.02331,0.006493,0.9114,0.003044,0.04588,0.05145,0.02046,0.02657,0.005895,0.007152
"DHX8",2749,"RNA binding","GO:0003723","molecular function",89,322,0.04859,0.02309,0.008293,0.8922,0.004517,0.04588,0.05145,0.01994,0.02675,0.007241,0.009497
"DHX15",2738,"double-stranded RNA binding","GO:0003725","molecular function",125,15,0.04859,0.01277,0.006012,0.9202,0.00953,0.04588,0.05145,0.01194,0.01365,0.00479,0.007546
"DHX15",2738,"RNA binding","GO:0003723","molecular function",125,322,0.04859,0.01277,0.006673,0.9095,0.003506,0.04588,0.05145,0.01194,0.01365,0.005979,0.007448
"DLX4",2917,"DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","molecular function",19,18,0.04859,0.02817,0.006725,0.9087,0.0009633,0.04588,0.05145,0.02343,0.03387,0.006508,0.006948
"DLX4",2917,"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","molecular function",19,43,0.04859,0.02817,0.008347,0.8919,0.006466,0.04588,0.05145,0.02343,0.03387,0.006864,0.01015
"DYNC1H1",2961,"dynein intermediate chain binding","GO:0045505","molecular function",97,5,0.04859,0.02074,0.005367,0.9302,0.00909,0.04588,0.05145,0.01522,0.02827,0.004438,0.00649
"DYNC1H1",2961,"dynein light intermediate chain binding","GO:0051959","molecular function",97,7,0.04859,0.02074,0.006369,0.9133,0.003943,0.04588,0.05145,0.01522,0.02827,0.005679,0.007142
"DYNC1H1",2961,"ATP-dependent microtubule motor activity, minus-end-directed","GO:0008569","molecular function",97,3,0.04859,0.02097,0.008247,0.8927,0.004943,0.04588,0.05145,0.0151,0.02911,0.007107,0.009568
"DYNC1I2",2964,"dynein light chain binding","GO:0045503","molecular function",68,2,0.04859,0.01152,0.005472,0.928,0.005947,0.04588,0.05145,0.01031,0.01288,0.004781,0.006263
"DYNC1I2",2964,"dynein heavy chain binding","GO:0045504","molecular function",68,2,0.04859,0.01152,0.005487,0.9272,0.004962,0.04588,0.05145,0.01031,0.01288,0.004914,0.006127
"DNMT1",2976,"promoter-specific chromatin binding","GO:1990841","molecular function",54,4,0.04859,0.04026,0.005673,0.9232,0.002271,0.04588,0.05145,0.03612,0.04487,0.005365,0.005998
"DNMT1",2976,"DNA binding","GO:0003677","molecular function",54,47,0.04859,0.04026,0.008723,0.8882,0.003778,0.04588,0.05145,0.03612,0.04487,0.007775,0.009786
"DOCK2",2988,"T cell receptor binding","GO:0042608","molecular function",10,3,0.04859,0.02123,0.004987,0.9381,0.009607,0.04588,0.05145,0.01679,0.02686,0.004108,0.006055
"DUSP1",3064,"protein tyrosine/threonine phosphatase activity","GO:0008330","molecular function",53,2,0.04859,0.02506,0.005627,0.9266,0.00863,0.04588,0.05145,0.02133,0.02945,0.004518,0.007009
"DUSP1",3064,"protein tyrosine phosphatase activity","GO:0004725","molecular function",53,14,0.04859,0.02506,0.00766,0.8983,0.007637,0.04588,0.05145,0.02133,0.02945,0.006066,0.009674
"EEF2",3214,"translation elongation factor activity","GO:0003746","molecular function",136,3,0.04859,0.04455,0.004488,0.9509,0.003087,0.04588,0.05145,0.03667,0.05412,0.004222,0.004772
"EIF2S1",3265,"translation initiation factor activity","GO:0003743","molecular function",88,18,0.04859,0.02516,0.005254,0.9331,0.008368,0.04588,0.05145,0.01943,0.03258,0.004348,0.006347
"EIF2S3",3267,"translation initiation factor activity","GO:0003743","molecular function",57,18,0.04859,0.02195,0.003751,0.9579,0.01011,0.04588,0.05145,0.0164,0.02936,0.002436,0.005776
"EIF2S3",3267,"translation factor activity, RNA binding","GO:0008135","molecular function",57,9,0.04859,0.02243,0.006667,0.9095,0.00735,0.04588,0.05145,0.01607,0.0313,0.005312,0.008366
"EIF5",3299,"translation initiation factor activity","GO:0003743","molecular function",54,18,0.04859,0.04094,0.006517,0.911,0.002605,0.04588,0.05145,0.03705,0.04524,0.005985,0.007097
"EP300",3373,"RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","molecular function",184,18,0.04859,0.02228,0.003413,0.9728,0.001558,0.04588,0.05145,0.01975,0.02515,0.003144,0.003706
"EP300",3373,"transcription factor binding","GO:0008134","molecular function",184,27,0.04859,0.02228,0.004269,0.9568,0.001696,0.04588,0.05145,0.01975,0.02515,0.004121,0.004421
"EP300",3373,"DNA-binding transcription factor binding","GO:0140297","molecular function",184,18,0.04859,0.02228,0.004584,0.9482,0.0008066,0.04588,0.05145,0.01975,0.02515,0.004511,0.004658
"EP300",3373,"STAT family protein binding","GO:0097677","molecular function",184,2,0.04859,0.02228,0.004614,0.9475,0.004692,0.04588,0.05145,0.01975,0.02515,0.004195,0.005075
"EP300",3373,"NF-kappaB binding","GO:0051059","molecular function",184,7,0.04859,0.02228,0.004812,0.9417,0.01174,0.04588,0.05145,0.01975,0.02515,0.003703,0.006252
"EP300",3373,"chromatin DNA binding","GO:0031490","molecular function",184,9,0.04859,0.02228,0.004958,0.9393,0.008825,0.04588,0.05145,0.01975,0.02515,0.004123,0.005963
"EP300",3373,"DNA binding","GO:0003677","molecular function",184,47,0.04859,0.02228,0.004989,0.938,0.004866,0.04588,0.05145,0.01975,0.02515,0.00453,0.005495
"EP300",3373,"nuclear receptor binding","GO:0016922","molecular function",184,17,0.04859,0.02228,0.005641,0.9245,0.005509,0.04588,0.05145,0.01975,0.02515,0.005013,0.006348
"EP300",3373,"chromatin binding","GO:0003682","molecular function",184,28,0.04859,0.02228,0.005804,0.924,0.01076,0.04588,0.05145,0.01975,0.02515,0.004385,0.007682
"EP300",3373,"transcription coactivator activity","GO:0003713","molecular function",184,30,0.04859,0.02228,0.00576,0.9231,0.00714,0.04588,0.05145,0.01975,0.02515,0.004892,0.006782
"EPRS1",3418,"RNA stem-loop binding","GO:0035613","molecular function",82,4,0.04859,0.03922,0.007498,0.9002,0.003241,0.04588,0.05145,0.03095,0.04971,0.006818,0.008246
"ERBB3",3431,"ErbB-3 class receptor binding","GO:0043125","molecular function",92,3,0.04859,0.03528,0.004761,0.9437,0.00313,0.04588,0.05145,0.02421,0.05143,0.004474,0.005066
"ERBB3",3431,"growth factor binding","GO:0019838","molecular function",92,23,0.04859,0.03528,0.006995,0.9056,0.003228,0.04588,0.05145,0.02421,0.05143,0.006323,0.007739
"ERBB3",3431,"neuregulin receptor activity","GO:0038131","molecular function",92,2,0.04859,0.03528,0.007648,0.9003,0.0147,0.04588,0.05145,0.02421,0.05143,0.005101,0.01147
"ETFA",3481,"flavin adenine dinucleotide binding","GO:0050660","molecular function",37,9,0.04859,0.01691,0.007468,0.9004,0.006289,0.04588,0.05145,0.0137,0.02086,0.006164,0.009047
"ETS2",3489,"protein binding","GO:0005515","molecular function",157,1436,0.04859,0.01542,0.005434,0.9279,0.003654,0.04588,0.05145,0.01343,0.01771,0.005014,0.00589
"ETS2",3489,"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","molecular function",157,43,0.04859,0.01542,0.006504,0.9112,0.005619,0.04588,0.05145,0.01343,0.01771,0.005487,0.007708
"ETS2",3489,"DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","molecular function",157,18,0.04859,0.01542,0.0068,0.9078,0.005693,0.04588,0.05145,0.01343,0.01771,0.005697,0.008116
"EWSR1",3508,"identical protein binding","GO:0042802","molecular function",159,151,0.04859,0.006141,0.00369,0.9689,0.000505,0.04588,0.05145,0.005633,0.006694,0.003619,0.003762
"EWSR1",3508,"RNA binding","GO:0003723","molecular function",159,322,0.04859,0.006141,0.004692,0.9454,0.0008861,0.04588,0.05145,0.005633,0.006694,0.004607,0.004778
"EWSR1",3508,"protein binding","GO:0005515","molecular function",159,1436,0.04859,0.006141,0.004728,0.9445,0.002487,0.04588,0.05145,0.005633,0.006694,0.004488,0.004981
"ACSL1",3569,"arachidonate-CoA ligase activity","GO:0047676","molecular function",58,2,0.04859,0.01967,0.006001,0.9216,0.01508,0.04588,0.05145,0.01588,0.02437,0.004047,0.008898
"ACSL1",3569,"long-chain fatty acid-CoA ligase activity","GO:0004467","molecular function",58,7,0.04859,0.01967,0.007151,0.904,0.005757,0.04588,0.05145,0.01588,0.02437,0.005981,0.00855
"FLT1",3763,"growth factor binding","GO:0019838","molecular function",43,23,0.04859,0.04451,0.005748,0.9251,0.01344,0.04588,0.05145,0.02729,0.07258,0.004143,0.007976
"FOS",3796,"DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","molecular function",78,43,0.04859,0.01153,0.002403,0.9801,0.00376,0.04588,0.05145,0.01151,0.01155,0.001516,0.003809
"FOS",3796,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","molecular function",78,62,0.04859,0.01153,0.003888,0.9647,0.003184,0.04588,0.05145,0.01151,0.01155,0.003488,0.004334
"FOS",3796,"transcription factor binding","GO:0008134","molecular function",78,27,0.04859,0.01153,0.004121,0.9604,0.002496,0.04588,0.05145,0.01151,0.01155,0.003897,0.004358
"FOS",3796,"RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","molecular function",78,18,0.04859,0.01153,0.004081,0.9598,0.005292,0.04588,0.05145,0.01151,0.01155,0.003553,0.004687
"FOS",3796,"sequence-specific double-stranded DNA binding","GO:1990837","molecular function",78,40,0.04859,0.01153,0.004559,0.9487,0.003717,0.04588,0.05145,0.01151,0.01155,0.004237,0.004905
"FOS",3796,"DNA-binding transcription factor activity","GO:0003700","molecular function",78,24,0.04859,0.01153,0.005009,0.9378,0.01011,0.04588,0.05145,0.01151,0.01155,0.004079,0.006151
"FOS",3796,"transcription cis-regulatory region binding","GO:0000976","molecular function",78,30,0.04859,0.0117,0.005942,0.9187,0.001781,0.04588,0.05145,0.01138,0.01204,0.005681,0.006214
"FOS",3796,"RNA polymerase II core promoter sequence-specific DNA binding","GO:0000979","molecular function",78,5,0.04859,0.0117,0.006224,0.9149,0.00298,0.04588,0.05145,0.01138,0.01204,0.005732,0.006759
"FUS",4010,"RNA binding","GO:0003723","molecular function",170,322,0.04859,0.02163,0.004951,0.9393,0.0002658,0.04588,0.05145,0.01812,0.02581,0.00492,0.004981
"FUS",4010,"transcription coactivator activity","GO:0003713","molecular function",170,30,0.04859,0.02163,0.007293,0.9042,0.01412,0.04588,0.05145,0.01812,0.02581,0.004961,0.01072
"FYN",4037,"phospholipase binding","GO:0043274","molecular function",115,6,0.04859,0.02877,0.004413,0.9527,0.005666,0.04588,0.05145,0.02279,0.03631,0.003928,0.004957
"FYN",4037,"ephrin receptor binding","GO:0046875","molecular function",115,5,0.04859,0.02877,0.004583,0.9484,0.003405,0.04588,0.05145,0.02279,0.03631,0.004277,0.00491
"FYN",4037,"disordered domain specific binding","GO:0097718","molecular function",115,7,0.04859,0.02877,0.004846,0.9404,0.01153,0.04588,0.05145,0.02279,0.03631,0.003753,0.006257
"GAK",4113,"clathrin binding","GO:0030276","molecular function",60,8,0.04859,0.02691,0.002785,0.9774,0.003249,0.04588,0.05145,0.02291,0.03161,0.001919,0.004043
"GCDH",4189,"fatty-acyl-CoA binding","GO:0000062","molecular function",21,4,0.04859,0.01071,0.005199,0.9361,0.01284,0.04588,0.05145,0.007033,0.0163,0.003845,0.007031
"GCDH",4189,"flavin adenine dinucleotide binding","GO:0050660","molecular function",21,9,0.04859,0.01071,0.005582,0.9309,0.01934,0.04588,0.05145,0.007033,0.0163,0.003413,0.00913
"KAT2A",4201,"histone acetyltransferase activity","GO:0004402","molecular function",54,8,0.04859,0.02241,0.005172,0.9334,0.003264,0.04588,0.05145,0.01955,0.02568,0.004849,0.005518
"KAT2A",4201,"chromatin binding","GO:0003682","molecular function",54,28,0.04859,0.02241,0.007694,0.8982,0.008182,0.04588,0.05145,0.01955,0.02568,0.005983,0.009895
"KAT2A",4201,"transcription factor binding","GO:0008134","molecular function",54,27,0.04859,0.02241,0.008814,0.8876,0.002159,0.04588,0.05145,0.01955,0.02568,0.008278,0.009384
"GDI2",4227,"Rab GDP-dissociation inhibitor activity","GO:0005093","molecular function",43,2,0.04859,0.02819,0.005836,0.9218,0.006633,0.04588,0.05145,0.02299,0.03456,0.004876,0.006985
"GLRX",4330,"protein N-terminus binding","GO:0047485","molecular function",59,15,0.04859,0.01561,0.005594,0.9248,0.003185,0.04588,0.05145,0.01304,0.01869,0.005189,0.006031
"GNG5",4408,"G-protein beta-subunit binding","GO:0031681","molecular function",51,3,0.04859,0.01448,0.002092,0.9837,0.00124,0.04588,0.05145,0.0124,0.01691,0.00167,0.00262
"GNG5",4408,"PDZ domain binding","GO:0030165","molecular function",51,7,0.04859,0.01528,0.006616,0.9124,0.01175,0.04588,0.05145,0.01302,0.01794,0.004857,0.009011
"GPX1",4553,"phospholipid-hydroperoxide glutathione peroxidase activity","GO:0047066","molecular function",47,3,0.04859,0.02785,0.006328,0.9141,0.005334,0.04588,0.05145,0.02444,0.03173,0.005446,0.007353
"GPX1",4553,"glutathione peroxidase activity","GO:0004602","molecular function",47,6,0.04859,0.02785,0.006589,0.9107,0.007537,0.04588,0.05145,0.02444,0.03173,0.005265,0.008247
"GPX1",4553,"peroxidase activity","GO:0004601","molecular function",47,21,0.04859,0.02785,0.007075,0.9049,0.001768,0.04588,0.05145,0.02444,0.03173,0.00672,0.007449
"GPX4",4556,"peroxidase activity","GO:0004601","molecular function",36,21,0.04859,0.03618,0.004719,0.9449,0.004149,0.04588,0.05145,0.03199,0.04091,0.004344,0.005126
"GPX4",4556,"phospholipid-hydroperoxide glutathione peroxidase activity","GO:0047066","molecular function",36,3,0.04859,0.03618,0.006126,0.9198,0.01506,0.04588,0.05145,0.03199,0.04091,0.004194,0.008949
"GRB2",4566,"protein kinase binding","GO:0019901","molecular function",226,61,0.04859,0.04036,0.00403,0.9615,0.004056,0.04588,0.05145,0.03397,0.04795,0.003618,0.004488
"GRB2",4566,"epidermal growth factor receptor binding","GO:0005154","molecular function",226,7,0.04859,0.04036,0.007066,0.9052,0.00782,0.04588,0.05145,0.03397,0.04795,0.00562,0.008883
"NR3C1",7978,"Hsp90 protein binding","GO:0051879","molecular function",165,9,0.04859,0.01926,0.004359,0.9543,0.003643,0.04588,0.05145,0.01677,0.02211,0.004051,0.00469
"NR3C1",7978,"protein binding","GO:0005515","molecular function",165,1436,0.04859,0.01926,0.005632,0.9239,0.003311,0.04588,0.05145,0.01677,0.02211,0.005239,0.006055
"NR3C1",7978,"DNA-binding transcription repressor activity, RNA polymerase II-specific","GO:0001227","molecular function",165,18,0.04859,0.01926,0.005791,0.9221,0.005478,0.04588,0.05145,0.01677,0.02211,0.005056,0.006632
"NR3C1",7978,"DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","molecular function",165,25,0.04859,0.01926,0.006852,0.9072,0.003685,0.04588,0.05145,0.01677,0.02211,0.006106,0.007688
"NR3C1",7978,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","molecular function",165,62,0.04859,0.01976,0.008015,0.8953,0.004766,0.04588,0.05145,0.01678,0.02325,0.00694,0.009256
"GSR",4623,"glutathione-disulfide reductase (NADPH) activity","GO:0004362","molecular function",30,4,0.04859,0.02531,0.005021,0.9376,0.006059,0.04588,0.05145,0.02071,0.03093,0.004439,0.005679
"GSS",4624,"glutathione binding","GO:0043295","molecular function",42,5,0.04859,0.04996,0.006114,0.9189,0.01145,0.04588,0.05145,0.03722,0.06705,0.004444,0.008412
"GTF2H1",4655,"thyroid hormone receptor binding","GO:0046966","molecular function",39,4,0.04859,0.0166,0.005297,0.9305,0.001139,0.04588,0.05145,0.0143,0.01926,0.005185,0.005411
"GTF2I",4659,"DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","molecular function",56,25,0.04859,0.03252,0.009069,0.8852,0.002854,0.04588,0.05145,0.02864,0.03694,0.008344,0.009858
"H3-3A",4764,"RNA polymerase II core promoter sequence-specific DNA binding","GO:0000979","molecular function",78,5,0.04859,0.01566,0.004458,0.9516,0.002132,0.04588,0.05145,0.01532,0.016,0.004282,0.004641
"H3-3A",4764,"nucleosomal DNA binding","GO:0031492","molecular function",78,9,0.04859,0.01566,0.004625,0.9471,0.01107,0.04588,0.05145,0.01532,0.016,0.003683,0.005809
"H3-3A",4764,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","molecular function",78,62,0.04859,0.01566,0.00677,0.9083,0.004104,0.04588,0.05145,0.01532,0.016,0.005963,0.007687
"H3-3B",4765,"RNA polymerase II core promoter sequence-specific DNA binding","GO:0000979","molecular function",80,5,0.04859,0.01563,0.004499,0.9506,0.002439,0.04588,0.05145,0.01532,0.01594,0.004293,0.004715
"H3-3B",4765,"nucleosomal DNA binding","GO:0031492","molecular function",80,9,0.04859,0.01563,0.004608,0.9476,0.01034,0.04588,0.05145,0.01532,0.01594,0.003732,0.00569
