Gene ID,Gene name,short,Gene type,Transcripts,Query
107298059,cellular repressor of E1A stimulated genes 1,E1A,protein-coding,"XM_015827421.2,XM_029286443.1",107298059
107288149,glypican 1,glypican,protein-coding,XM_015816735.1,107288149
107302720,gamma-glutamyl hydrolase,ggh,protein-coding,XM_015831863.1,107302720
107286306,collagen alpha-2(I) chain,cac,protein-coding,XM_015814657.1,107286306
107294649,glutamyl aminopeptidase,glu_am,protein-coding,XM_015823900.1,107294649
107286753,actin gamma 1,actg,protein-coding,XM_015815176.1,107286753
107293381,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,PLA2i,protein-coding,XM_029285395.1,107293381
107285227,protein S100-A12,S100,protein-coding,XM_015813400.1,107285227
107282333,serum albumin-like,seral,protein-coding,XM_015810104.1,107282333
107302404,angiotensin I converting enzyme,ace,protein-coding,XM_029287230.1,107302404
107291795,glucosamine (N-acetyl)-6-sulfatase,glu_am,protein-coding,"XM_015820831.2,XM_015820838.2,XM_015820846.2",107291795
107295827,prolyl 4-hydroxylase subunit beta,proryl,protein-coding,XM_015825159.2,107295827
107294969,ovotransferrin,ovo,protein-coding,XM_015824248.1,107294969
107285030,acetylcholinesterase (Cartwright blood group),acetylcholin,protein-coding,XM_015813171.1,107285030
107302846,serpin family C member 1,serpin,protein-coding,XM_015832002.1,107302846
107298633,cathepsin L1,cathespin,protein-coding,XM_015828011.1,107298633
107299997,hexosaminidase subunit alpha,hex_am,protein-coding,XM_015829341.1,107299997
107300811,zinc metalloproteinase/disintegrin-like HR1a,SVMP,protein-coding,XM_015830101.1,107300811
107291354,basic phospholipase A2 homolog G6K49-like,PLA1,protein-coding,XM_015820348.1,107291354
107290870,ectonucleotide pyrophosphatase/phosphodiesterase 3,ecto-pyro,protein-coding,"XM_015819805.1,XM_015819806.1,XM_015819807.1,XM_015819808.2",107290870
