Pf	fpkm	fragments	peptides	length	frag/len
comp482_c0_seq1	2510	2	2	522	0.003831418
comp0_c0_seq1	1363576	11.5	12	138	0.083333333
comp805_c0_seq2	430.7	0.5	1	320	0.0015625
comp805_c0_seq1	195.3	0.5	1	320	0.0015625
comp213_c0_seq1	1105	6	6	148	0.040540541
comp2113_c0_seq1	1224	3	3	59	0.050847458
comp108_c0_seq1	1121	5	5	104	0.048076923
comp12_c0_seq1	4810	4	4	127	0.031496063
comp38395_c0_seq1	4	1	1	88	0.011363636
comp4343_c0_seq3	4.65	0.25	1	492	0.00050813
comp4343_c0_seq2	25.34	0.25	1	721	0.000346741
comp4343_c0_seq1	73.68	0.25	1	721	0.000346741
comp4343_c0_seq4	0.33	0.25	1	492	0.00050813
comp9_c0_seq27	54	2	2	72	0.027777778
comp155_c0_seq1	291	1	1	91	0.010989011
comp86_c0_seq1	7483	8	8	553	0.014466546
comp1971_c1_seq2	13.57	0.5	1	321	0.001557632
comp1971_c1_seq1	186.92	1.5	2	328	0.004573171
comp11_c0_seq7	4453	7.916667	11	87	0.090996172
comp11_c0_seq6	6045	4.833333	7	35	0.138095229
comp11_c0_seq5	0	6.25	14	134	0.046641791
comp11_c0_seq4	6525	11.416667	14	149	0.076621926
comp11_c0_seq3	14075.88	11.083333	21	130	0.085256408
comp11_c0_seq2	2588.65	6.666667	14	158	0.042194095
comp11_c0_seq1	13639.92	6.666667	14	158	0.042194095
comp13445_c0_seq1	19	1	1	285	0.003508772
comp11_c0_seq8	3290	3	3	53	0.056603774
comp200_c0_seq4	2282.52	0.25	1	476	0.00052521
comp36398_c0_seq1	2	1	1	115	0.008695652
comp200_c0_seq1	448.41	0.25	1	501	0.000499002
comp200_c0_seq2	0	0.25	1	489	0.000511247
comp200_c0_seq3	239.07	0.25	1	485	0.000515464
comp29_c0_seq1	22422	24	24	252	0.095238095
comp350_c0_seq1	1995	2	2	451	0.00443459
comp1_c0_seq4	28605.11	13	26	280	0.046428571
comp10235_c0_seq1	8.27	0.5	1	135	0.003703704
comp6_c0_seq1	6290	1	1	57	0.01754386
comp1_c0_seq1	1030648.8	23.833333	49	329	0.072441742
comp1_c0_seq3	10068.89	13	26	306	0.04248366
comp1_c0_seq2	48975.2	23.833333	49	327	0.07288481
comp19752_c0_seq1	5	1	1	139	0.007194245
comp17489_c0_seq1	5	2	2	94	0.021276596
comp27_c0_seq1	7532	3	3	109	0.027522936
comp37053_c0_seq1	2	1	1	117	0.008547009
comp10_c0_seq1	165301	27	27	240	0.1125
comp9_c0_seq15	3539	1	1	42	0.023809524
comp9_c0_seq14	2957.35	1	1	67	0.014925373
comp9_c0_seq12	0	1.5	3	160	0.009375
